"Name","Team","POS","PTS","PTS/G","GP","CMP","YDS","TD","INT","ATT","YDS","TD","FUM","TGT","REC","YDS","TD"
"Johnny Mundt","JAX","TE","20.1","1.3","16","0","0","0","0","0","0","0","0","19","9","111","0"
"Ashton Dulin","IND","WR","20","1.7","12","0","0","0","0","3","44","0","0","10","5","106","0"
"Nick Westbrook-Ikhine","MIA","WR","19.9","1.3","15","0","0","0","0","0","0","0","0","20","11","89","0"
"Cade Stover","HOU","TE","19.9","2.2","9","0","0","0","0","4","3","0","0","16","12","76","0"
"Dante Pettis","NO","WR","19.7","2.5","8","0","0","0","0","0","0","0","1","11","9","127","0"
"Darius Cooper","PHI","WR","18.2","1.5","12","0","0","0","0","0","0","0","0","11","9","92","0"
"Tanner Conner","MIA","TE","18.1","2","9","0","0","0","0","0","0","0","0","15","9","91","0"
"Cody White","SEA","WR","18","1.8","10","0","0","0","0","0","0","0","0","4","3","90","1"
"Kameron Johnson","TB","WR","17.7","1","17","0","0","0","0","2","13","0","0","7","4","64","1"
"Quintin Morris","JAX","TE","17.5","1.3","14","0","0","0","0","0","0","0","0","9","6","55","1"
"Will Shipley","PHI","RB","17.5","1.2","15","0","0","0","0","14","49","0","1","12","9","56","0"
"Tyler Conklin","LAC","TE","17.3","1.3","13","0","0","0","0","1","2","0","0","10","7","101","0"
"Antonio Gibson","NE","RB","17.2","3.4","5","0","0","0","0","25","106","1","1","3","2","6","0"
"Trayveon Williams","LAC","RB","17.1","2.4","7","0","0","0","0","10","36","0","0","9","8","55","0"
"Ben Skowronek","PIT","WR","16.9","1","17","0","0","0","0","0","0","0","0","6","4","69","1"
"Nate Adkins","DEN","TE","16.8","1.9","9","0","0","0","0","0","0","0","0","11","6","48","1"
"Jack Stoll","NO","TE","16.6","1.1","15","0","0","0","0","0","0","0","0","11","6","46","1"
"Efton Chism III","NE","WR","16.5","2.1","8","0","0","0","0","0","0","0","0","3","3","75","1"
"Keandre Lambert-Smith","LAC","WR","16.1","1.6","10","0","0","0","0","0","0","0","0","12","5","51","1"
"Shedrick Jackson","LV","WR","15.9","3.2","5","0","0","0","0","1","3","0","0","5","4","56","1"
"Adam Prentice","DEN","RB","15.7","0.9","17","0","0","0","0","10","44","0","0","8","6","53","0"
"C.J. Ham","MIN","RB","15.6","1.4","11","0","0","0","0","3","5","2","0","2","2","11","0"
"Casey Washington","ATL","WR","15.4","2.2","7","0","0","0","0","0","0","0","0","14","6","94","0"
"Braelon Allen","NYJ","RB","15.3","3.8","4","0","0","0","0","18","76","1","1","3","2","17","0"
"Terrell Jennings","NE","RB","15.2","2.2","7","0","0","0","0","23","73","1","0","1","1","9","0"
"Scotty Miller","PIT","WR","15.2","1.2","13","0","0","0","0","0","0","0","0","14","9","62","0"
"Mason Rudolph","PIT","QB","15","3","5","38","310","2","2","7","6","0","1","0","0","0","0"
"George Holani","SEA","RB","14.8","1.3","11","0","0","0","0","22","73","1","1","2","2","15","0"
"Skyy Moore","SF","WR","14.8","0.9","17","0","0","0","0","2","11","0","0","7","5","87","0"
"Malik Heath","GB","WR","14.6","1.3","11","0","0","0","0","0","0","0","0","7","6","86","0"
"Josh Whyle","GB","TE","14.6","1.8","8","0","0","0","0","0","0","0","0","6","5","36","1"
"Tylan Wallace","BAL","WR","14.5","1","14","0","0","0","0","0","0","0","0","8","4","45","1"
"Alec Ingold","MIA","RB","14.1","0.8","17","0","0","0","0","2","9","0","0","12","8","52","0"
"Tanner McKee","PHI","QB","14","2.8","5","25","280","1","1","8","8","0","0","0","0","0","0"
"Ray-Ray McCloud III","ATL","WR","13.9","2.3","6","0","0","0","0","0","0","0","0","16","7","69","0"
"Trevor Etienne","CAR","RB","13.7","0.8","17","0","0","0","0","20","94","0","0","3","3","13","0"
"Xavier Weaver","ARI","WR","13.7","1.4","10","0","0","0","0","0","0","0","0","13","7","67","0"
"Trey Lance","LAC","QB","13.5","3.4","4","27","226","0","1","17","85","0","1","0","0","0","0"
"Arian Smith","NYJ","WR","13.5","0.8","16","0","0","0","0","4","13","0","0","16","7","52","0"
"Noah Brown","WAS","WR","13.3","3.3","4","0","0","0","0","0","0","0","0","10","5","83","0"
"Anthony Firkser","DET","TE","13.3","1.9","7","0","0","0","0","0","0","0","0","10","8","53","0"
"Austin Ekeler","WAS","RB","13.1","6.6","2","0","0","0","0","14","43","0","0","7","5","38","0"
"Michael Bandy","DEN","WR","13","3.3","4","0","0","0","0","0","0","0","1","4","4","50","1"
"David Martin-Robinson","TEN","TE","13","0.8","17","0","0","0","0","0","0","0","0","6","4","30","1"
"Foster Moreau","NO","TE","12.9","1.2","11","0","0","0","0","0","0","0","0","10","7","59","0"
"Charlie Woerner","ATL","TE","12.8","0.8","17","0","0","0","0","0","0","0","0","11","8","48","0"
"Drew Ogletree","IND","TE","12.7","0.8","15","0","0","0","0","0","0","0","0","6","4","27","1"
"James Proche II","TEN","WR","12.5","1.4","9","0","0","0","0","0","0","0","0","12","6","65","0"
"Gage Larvadain","CLE","WR","12.4","1","13","0","0","0","0","1","3","0","1","14","7","71","0"
"Stone Smartt","NYJ","TE","12.2","0.8","15","0","0","0","0","0","0","0","0","9","7","52","0"
"Najee Harris","LAC","RB","11.6","3.9","3","0","0","0","0","15","61","0","0","3","3","25","0"
"Ryan Miller","TB","WR","11.4","0.9","13","0","0","0","0","0","0","0","0","4","2","34","1"
"Chris Oladokun","KC","QB","11.2","3.7","3","35","235","1","0","5","18","0","2","0","0","0","0"
"Scott Matlock","LAC","RB","11.2","0.7","16","0","0","0","0","0","0","0","0","4","4","12","1"
"Dylan Drummond","ATL","WR","11.2","1.2","9","0","0","0","0","0","0","0","0","11","7","42","0"
"Josiah Deguara","ARI","TE","11.1","0.9","12","0","0","0","0","0","0","0","0","5","3","21","1"
"Kylen Granson","PHI","TE","11","0.6","17","0","0","0","0","0","0","0","0","9","7","40","0"
"Phil Mafah","DAL","RB","10.9","10.9","1","0","0","0","0","5","18","1","0","2","2","11","0"
"Andy Dalton","CAR","QB","10.5","2.1","5","26","318","1","1","5","-2","0","2","0","0","0","0"
"Joe Milton III","DAL","QB","10.3","2.6","4","15","183","1","2","5","50","0","1","0","0","0","0"
"Robbie Chosen","WAS","WR","10.3","3.4","3","0","0","0","0","0","0","0","0","9","5","53","0"
"Ronnie Bell","NO","WR","10.3","5.2","2","0","0","0","0","0","0","0","0","4","2","23","1"
"Hassan Haskins","LAC","RB","10","0.8","12","0","0","0","0","17","47","0","0","4","4","13","0"
"Braxton Berrios","HOU","WR","9.7","2.4","4","0","0","0","0","0","0","0","0","8","6","37","0"
"Brittain Brown","CHI","RB","9.7","3.2","3","0","0","0","0","5","37","1","0","1","0","0","0"
"Zamir White","LV","RB","9.6","1.6","6","0","0","0","0","12","32","0","0","6","4","24","0"
"DJ Giddens","IND","RB","9.6","1","10","0","0","0","0","26","96","0","0","2","0","0","0"
"Cedrick Wilson Jr.","MIA","WR","9.4","0.9","10","0","0","0","0","0","0","0","0","9","5","44","0"
"Corey Kiner","ARI","RB","9.3","2.3","4","0","0","0","0","12","58","0","0","3","2","15","0"
"Eric Saubert","SEA","TE","9.1","0.8","11","0","0","0","0","0","0","0","0","7","4","31","0"
"A.J. Dillon","PHI","RB","9.1","1.3","7","0","0","0","0","12","60","0","1","3","3","21","0"
"Ty Chandler","MIN","RB","8.8","2.9","3","0","0","0","0","17","47","0","0","4","3","11","0"
"Brenden Bates","HOU","TE","8.8","1","9","0","0","0","0","0","0","0","0","5","4","48","0"
"Kaleb Johnson","PIT","RB","8.8","0.9","10","0","0","0","0","28","69","0","0","2","1","9","0"
"Albert Okwuegbunam","LV","TE","8.6","8.6","1","0","0","0","0","0","0","0","0","6","5","36","0"
"Jalin Hyatt","NYG","WR","8.5","1.1","8","0","0","0","0","0","0","0","0","15","5","35","0"
"Dee Eskridge","MIA","WR","8.2","0.6","13","0","0","0","0","0","0","0","1","7","4","62","0"
"British Brooks","HOU","RB","7.8","0.5","15","0","0","0","0","17","78","0","0","0","0","0","0"
"Kenny Pickett","LV","QB","7.7","1.3","6","28","188","1","2","5","22","0","1","0","0","0","0"
"Tom Kennedy","DET","WR","7.6","1.3","6","0","0","0","0","0","0","0","0","4","4","36","0"
"Austin Trammell","JAX","WR","7.6","1.3","6","0","0","0","0","0","0","0","0","10","3","46","0"
"Devin Culp","TB","TE","7.6","0.6","13","0","0","0","0","0","0","0","0","1","1","6","1"
"Keleki Latu","BUF","TE","7.5","1.5","5","0","0","0","0","0","0","0","0","4","4","35","0"
"Xavier Restrepo","TEN","WR","7.1","3.5","2","0","0","0","0","0","0","0","0","7","3","41","0"
"Mason Kinsey","TEN","WR","6.8","0.7","10","0","0","0","0","0","0","0","0","4","2","48","0"
"Dareke Young","SEA","WR","6.8","0.8","9","0","0","0","0","0","0","0","0","3","2","48","0"
"Khalil Herbert","NYJ","RB","6.6","0.9","7","0","0","0","0","16","52","0","0","4","1","4","0"
"Durham Smythe","CHI","TE","6.5","0.4","17","0","0","0","0","0","0","0","0","6","4","25","0"
"Tahj Brooks","CIN","RB","6.4","0.4","16","0","0","0","0","16","45","0","0","2","1","9","0"
"Evan Hull","NO","RB","6.4","1.1","6","0","0","0","0","19","48","0","0","1","1","6","0"
"Deven Thompkins","ATL","WR","6.2","0.9","7","0","0","0","0","1","5","0","0","3","3","27","0"
